N,Error
10,21.0315
20,18.2257
30,19.956
40,15.1259
50,11.2068
60,7.35633
70,9.80067
80,9.57739
90,8.29798
100,6.4589
110,3.2294
120,4.78044
130,1.11352
140,1.99242
150,1.02314
160,2.92742
170,0.249229
180,2.80021
190,0.536426
200,2.20912
210,2.12275
220,0.126741
230,1.69851
240,0.727174
250,0.708697
260,0.140516
270,1.57445
280,0.696601
290,0.607098
300,0.170479
310,0.77233
320,0.20625
330,0.123461
340,0.847873
350,0.146569
360,0.139802
370,0.119895
380,0.12211
390,0.637639
400,0.703842
410,0.491026
420,0.152949
430,0.130594
440,0.132996
450,0.133596
460,0.173784
470,0.136973
480,0.125118
490,0.84454
500,0.139913
510,0.146935
520,0.11989
530,0.944509
540,0.118422
550,1.03707
560,0.118894
570,0.117125
580,0.119002
590,0.119681
600,0.123596
610,0.117661
620,0.120374
630,0.118727
640,0.124291
650,0.128343
660,0.122817
670,0.117609
680,0.11725
690,0.161119
700,0.119641
710,0.119964
720,0.144714
730,0.114095
740,0.123006
750,0.114197
760,0.116551
770,0.118877
780,0.119004
790,0.387179
800,0.116828
810,0.12507
820,0.118836
830,0.115342
840,0.114992
850,0.125598
860,0.117074
870,0.118954
880,0.116219
890,0.12138
900,0.113325
910,0.117999
920,0.1159
930,0.119721
940,0.118772
950,0.114338
960,0.117012
970,0.116847
980,0.116904
990,0.114298
